p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.25 0.5 0.8500000000000001 0.00028759999999999994 1.77392e-06 0.9995455999999999 0.00016680000000000002 1.199383381040427e-10
0.25 0.5 0.9 2.52e-05 5.616e-08 0.9999592 1.56e-05 8.600658615623385e-12
0.25 0.5 0.9500000000000001 0.00010159999999999999 4.3072e-07 0.9998311999999999 6.72e-05 4.008070204096493e-11
0.25 0.5 1.0 0.0017708 3.023728e-05 0.9973099999999999 0.0009192000000000001 1.076924022954129e-09
0.30000000000000004 0.5 0.0 0.0 0.0 0.17160000000000006 0.8284000000000002 0.0
0.30000000000000004 0.5 0.05 0.0 0.0 0.9997824000000001 0.0002176 0.0
0.30000000000000004 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.25 0.0004692000000000001 2.5710400000000003e-06 0.9985288 0.001002 1.262112617333025e-10
0.30000000000000004 0.5 0.30000000000000004 0.0004312 3.31008e-06 0.9987764 0.0007924 1.8532766175534505e-10
0.30000000000000004 0.5 0.35000000000000003 0.0004916 4.66448e-06 0.9987304 0.000778 2.971827645672233e-10
0.30000000000000004 0.5 0.4 0.0 0.0 0.999992 8e-06 0.0
0.30000000000000004 0.5 0.45 0.011300000000000001 0.00037635423999999993 0.9761316 0.0125684 6.974852496731032e-09
0.30000000000000004 0.5 0.5 0.0182088 0.00072823008 0.9637348 0.018056400000000004 5.530796015398759e-09
0.30000000000000004 0.5 0.55 0.0437376 0.0021174316800000002 0.9167455999999999 0.039516800000000005 3.2146214792390354e-09
0.30000000000000004 0.5 0.6000000000000001 0.054150800000000006 0.0031322443199999998 0.9005748000000001 0.0452744 4.258733632346293e-09
0.30000000000000004 0.5 0.65 0.0694272 0.00515193088 0.877266 0.05330680000000001 4.733255040531879e-09
0.30000000000000004 0.5 0.7000000000000001 0.09340000000000001 0.00899956032 0.8404564 0.0661436 4.808291860246744e-09
0.30000000000000004 0.5 0.75 0.0927724 0.00885693616 0.8452959999999999 0.0619316 3.9825968756761285e-09
0.30000000000000004 0.5 0.8 0.0953032 0.00977073664 0.8447935999999999 0.0599032 1.1453366089841758e-08
0.30000000000000004 0.5 0.8500000000000001 0.11347 0.0131379992 0.8197408 0.06678919999999999 4.901003713584503e-09
0.30000000000000004 0.5 0.9 0.11735920000000001 0.014097832959999999 0.8175628 0.065078 5.198185216823605e-09
0.30000000000000004 0.5 0.9500000000000001 0.11907640000000001 0.014461832480000002 0.8176584 0.0632652 4.6989240070939905e-09
0.30000000000000004 0.5 1.0 0.1251932 0.01599428592 0.81252 0.062286799999999996 5.6882620298065875e-09
0.35000000000000003 0.5 0.0 0.0 0.0 0.16639999999999994 0.8336000000000001 0.0
0.35000000000000003 0.5 0.05 0.0 0.0 0.9998516000000001 0.0001484 0.0
0.35000000000000003 0.5 0.1 0.0 0.0 0.9999968 3.2000000000000003e-06 0.0
0.35000000000000003 0.5 0.15000000000000002 7.2e-05 1.9679999999999996e-07 0.9994772000000001 0.00045079999999999995 1.8705642789927617e-11
0.35000000000000003 0.5 0.2 0.0 0.0 0.9999984 1.6000000000000001e-06 0.0
0.35000000000000003 0.5 0.25 0.006378 0.00011952080000000001 0.9804052000000001 0.013216799999999999 1.8517099208562722e-09
0.35000000000000003 0.5 0.30000000000000004 0.0400436 0.00184840144 0.8928448000000001 0.0671116 3.6413644688165384e-09
0.35000000000000003 0.5 0.35000000000000003 0.0793428 0.0065502744 0.8078792000000001 0.11277799999999999 3.984677044703014e-09
0.35000000000000003 0.5 0.4 0.09510640000000001 0.009276067839999999 0.7857964 0.1190972 4.37825184454174e-09
0.35000000000000003 0.5 0.45 0.1162928 0.013904792319999998 0.7543 0.1294072 6.709915947850595e-09
0.35000000000000003 0.5 0.5 0.137188 0.01903647424 0.7259624 0.13684960000000002 3.7136969954915827e-09
0.35000000000000003 0.5 0.55 0.1452656 0.02127576544 0.722304 0.13243040000000003 2.813937142758321e-09
0.35000000000000003 0.5 0.6000000000000001 0.1570696 0.02492367488 0.7118416 0.1310888 4.718027934639003e-09
0.35000000000000003 0.5 0.65 0.1729272 0.0301444576 0.694748 0.13232480000000002 4.0597830332605055e-09
0.35000000000000003 0.5 0.7000000000000001 0.18294839999999998 0.03369043024 0.6864739999999999 0.1305776 3.943971185902455e-09
0.35000000000000003 0.5 0.75 0.1906016 0.03652448416 0.6828728 0.1265256 3.227019247148457e-09
0.35000000000000003 0.5 0.8 0.19735279999999997 0.03911248128 0.6794 0.1232472 2.5330382518781657e-09
0.35000000000000003 0.5 0.8500000000000001 0.1993824 0.03997232992 0.6824492 0.11816839999999999 3.54656355889921e-09
0.35000000000000003 0.5 0.9 0.21147280000000002 0.04494785024 0.6708743999999999 0.11765280000000002 4.128084745337988e-09
0.35000000000000003 0.5 0.9500000000000001 0.21552 0.04663340864 0.670908 0.113572 3.598660204190655e-09
0.35000000000000003 0.5 1.0 0.2200788 0.04863104016 0.6698544000000001 0.1100668 3.39249882516265e-09
0.4 0.5 0.0 0.0 0.0 0.1448 0.8552000000000001 0.0
0.4 0.5 0.05 0.0 0.0 0.9997768 0.0002232 0.0
0.4 0.5 0.1 0.0009664000000000001 1.7521279999999996e-05 0.9932668 0.005766800000000001 1.0362252507588919e-09
0.4 0.5 0.15000000000000002 0.00022920000000000001 2.2318400000000002e-06 0.9987375999999999 0.0010332000000000002 1.9966006913960063e-10
0.4 0.5 0.2 0.0458796 0.0022740904 0.8391632 0.1149572 3.366451701281034e-09
0.4 0.5 0.25 0.0739128 0.00569162208 0.7780511999999998 0.148036 4.074383210919645e-09
0.4 0.5 0.30000000000000004 0.11237840000000002 0.01284602688 0.7003315999999999 0.18729 3.593611470860446e-09
0.4 0.5 0.35000000000000003 0.1353424 0.01856889856 0.6709883999999999 0.19366919999999999 4.336343550288916e-09
0.4 0.5 0.4 0.15650119999999998 0.024729035360000002 0.6480724 0.1954264 4.1274026352213e-09
0.4 0.5 0.45 0.17577600000000002 0.031078801599999997 0.6295227999999999 0.1947012 3.1356349538131423e-09
0.4 0.5 0.5 0.188642 0.0357674936 0.6230956 0.18826240000000002 3.125548423110709e-09
0.4 0.5 0.55 0.20331280000000002 0.04154750368000001 0.6121076000000001 0.1845796 3.7863833752937725e-09
0.4 0.5 0.6000000000000001 0.21421959999999998 0.04605795184 0.6066108 0.1791696 3.1013679993487808e-09
0.4 0.5 0.65 0.2266804 0.051555288160000004 0.5989912 0.1743284 2.8955167914985546e-09
0.4 0.5 0.7000000000000001 0.2341664 0.055024229120000004 0.59866 0.16717360000000003 3.185232631898038e-09
0.4 0.5 0.75 0.2433408 0.059384330240000005 0.594346 0.1623132 2.9591453743894136e-09
0.4 0.5 0.8 0.24922680000000003 0.06230382928 0.594596 0.1561772 3.3315965959584957e-09
0.4 0.5 0.8500000000000001 0.25831960000000004 0.06691331952000001 0.5896564 0.152024 3.0840821514909813e-09
0.4 0.5 0.9 0.2641028 0.06994403600000001 0.5890856000000001 0.1468116 3.474020005224276e-09
0.4 0.5 0.9500000000000001 0.2704896 0.07333004192000002 0.5869576 0.14255279999999998 2.846779783142031e-09
0.4 0.5 1.0 0.27480160000000003 0.07572859232 0.5879587999999999 0.1372396 3.6956367026005116e-09
0.45 0.5 0.0 0.0 0.0 0.13640000000000002 0.8636 0.0
0.45 0.5 0.05 0.0 0.0 0.9999092 9.079999999999998e-05 0.0
0.45 0.5 0.1 0.0009383999999999999 1.374272e-05 0.9937736 0.005287999999999999 7.248147553181321e-10
0.45 0.5 0.15000000000000002 0.0452436 0.0022449624 0.8030084 0.15174800000000002 3.492322954088333e-09
0.45 0.5 0.2 0.0849384 0.0073770752 0.7022276 0.212834 2.726472539101991e-09
