p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.25 0.5 0.8500000000000001 0.0006828000000000001 1.008496e-05 0.9988828 0.0004343999999999999 7.680591927025607e-10
0.25 0.5 0.9 0.0014563999999999998 1.405232e-05 0.9977328 0.0008108000000000002 3.65969166024387e-10
0.25 0.5 0.9500000000000001 0.0009864 1.700704e-05 0.9984696000000001 0.000544 8.757202576136402e-10
0.25 0.5 1.0 0.002878 3.6935199999999985e-05 0.9957192 0.0014027999999999998 1.1116901028739891e-09
0.30000000000000004 0.5 0.0 0.0 0.0 0.1616 0.8384000000000001 0.0
0.30000000000000004 0.5 0.05 0.0 0.0 0.9999064 9.359999999999998e-05 0.0
0.30000000000000004 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.25 0.0001108 3.4352e-07 0.999664 0.00022519999999999997 3.1048051890930936e-11
0.30000000000000004 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.30000000000000004 0.5 0.35000000000000003 0.0002184 1.4288e-06 0.9994208 0.0003608 1.226186686839035e-10
0.30000000000000004 0.5 0.4 0.0014780000000000001 1.785648e-05 0.9964836 0.0020384 6.263335666921942e-10
0.30000000000000004 0.5 0.45 0.0029928 6.553088e-05 0.9935352000000001 0.0034720000000000003 2.076411741841004e-09
0.30000000000000004 0.5 0.5 0.010852800000000003 0.0004332256 0.9782455999999999 0.010901600000000001 6.881438785069347e-09
0.30000000000000004 0.5 0.55 0.0068747999999999995 0.00024195791999999996 0.9865936 0.006531599999999999 6.946404364538221e-09
0.30000000000000004 0.5 0.6000000000000001 0.0519844 0.00315700528 0.9048843999999999 0.0431312 6.3291949792532375e-09
0.30000000000000004 0.5 0.65 0.0644004 0.004701199519999999 0.8859688000000001 0.04963080000000001 7.362103997466977e-09
0.30000000000000004 0.5 0.7000000000000001 0.0950012 0.009303002080000001 0.8372344 0.06776439999999999 5.086328430040319e-09
0.30000000000000004 0.5 0.75 0.09207080000000001 0.00884709296 0.8465888 0.0613404 5.310491761468694e-09
0.30000000000000004 0.5 0.8 0.1042076 0.011087546719999999 0.8305556000000001 0.0652368 3.827914981904128e-09
0.30000000000000004 0.5 0.8500000000000001 0.11681359999999999 0.01386311296 0.8144796 0.0687068 4.087227399180918e-09
0.30000000000000004 0.5 0.9 0.11983400000000001 0.014697315360000001 0.8135576 0.06660839999999998 6.852080088946373e-09
0.30000000000000004 0.5 0.9500000000000001 0.12817360000000003 0.016717347520000002 0.8042876 0.06753880000000001 6.174515508350081e-09
0.30000000000000004 0.5 1.0 0.133512 0.01806080832 0.7993732 0.0671148 4.7483571288152885e-09
0.35000000000000003 0.5 0.0 0.0 0.0 0.1576 0.8423999999999996 0.0
0.35000000000000003 0.5 0.05 0.0 0.0 0.9998312 0.0001688 0.0
0.35000000000000003 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.35000000000000003 0.5 0.15000000000000002 4.4800000000000005e-05 1.4176e-07 0.9997628 0.00019240000000000001 1.8107898351291487e-11
0.35000000000000003 0.5 0.2 0.0016368 2.900576e-05 0.9939572000000001 0.004406 1.2909505202098104e-09
0.35000000000000003 0.5 0.25 0.0029423999999999995 5.9305279999999995e-05 0.99056 0.0064976 1.6738333839464354e-09
0.35000000000000003 0.5 0.30000000000000004 0.037676 0.0016359088000000002 0.9002736 0.062050400000000006 3.799447717586626e-09
0.35000000000000003 0.5 0.35000000000000003 0.0792648 0.00658465792 0.807764 0.1129712 4.574454303794302e-09
0.35000000000000003 0.5 0.4 0.09563920000000001 0.00943611296 0.7842488000000001 0.120112 5.038650822541108e-09
0.35000000000000003 0.5 0.45 0.11610200000000001 0.01369836144 0.7541772000000001 0.1297208 3.911980171843709e-09
0.35000000000000003 0.5 0.5 0.13630799999999998 0.018784578240000002 0.727308 0.13638399999999998 3.692581873341038e-09
0.35000000000000003 0.5 0.55 0.14888639999999997 0.02237504928 0.7158672 0.1352464 3.782378830973083e-09
0.35000000000000003 0.5 0.6000000000000001 0.1609256 0.026172502719999997 0.7053144 0.13376 5.657863023265695e-09
0.35000000000000003 0.5 0.65 0.1714056 0.02959730496 0.6969411999999999 0.1316532 4.002049599564032e-09
0.35000000000000003 0.5 0.7000000000000001 0.18018 0.03272722272 0.6908188 0.12900119999999998 4.279802640868011e-09
0.35000000000000003 0.5 0.75 0.1913908 0.0368066232 0.6810876 0.12752159999999998 3.256752319469333e-09
0.35000000000000003 0.5 0.8 0.19676480000000002 0.03893507615999999 0.6801972000000001 0.123038 3.8295282899751e-09
0.35000000000000003 0.5 0.8500000000000001 0.20178320000000002 0.04094607104 0.6791992 0.1190176 4.010464769154565e-09
0.35000000000000003 0.5 0.9 0.20989159999999998 0.04424854576 0.6732172 0.1168912 3.047752378532365e-09
0.35000000000000003 0.5 0.9500000000000001 0.2178724 0.0476294152 0.6681320000000001 0.1139956 3.03907832032884e-09
0.35000000000000003 0.5 1.0 0.22168000000000002 0.04931773632 0.6672899999999999 0.11103 3.3131080120994204e-09
0.4 0.5 0.0 0.0 0.0 0.12840000000000004 0.8716000000000004 0.0
0.4 0.5 0.05 0.0 0.0 0.999888 0.00011199999999999998 0.0
0.4 0.5 0.1 0.0 0.0 0.9999976 2.4000000000000003e-06 0.0
0.4 0.5 0.15000000000000002 0.000772 1.142592e-05 0.99619 0.0030380000000000003 6.694220049371507e-10
0.4 0.5 0.2 0.042043199999999996 0.00197649664 0.8527496000000001 0.1052072 3.193127287760115e-09
0.4 0.5 0.25 0.0831896 0.007128723199999999 0.7511008 0.16570959999999998 3.950540465089714e-09
0.4 0.5 0.30000000000000004 0.11298480000000001 0.012910848640000002 0.6996184000000001 0.18739679999999997 2.645154034837528e-09
0.4 0.5 0.35000000000000003 0.13479239999999998 0.018462163360000002 0.67204 0.1931676 5.1964803843437945e-09
0.4 0.5 0.4 0.15391719999999998 0.02389045328 0.6527752 0.1933076 3.396665157554082e-09
0.4 0.5 0.45 0.17388960000000003 0.030436402879999998 0.6327008 0.19340960000000001 3.6891296316678226e-09
0.4 0.5 0.5 0.18683840000000002 0.0350790128 0.6251984 0.18796320000000002 3.4336721644644037e-09
0.4 0.5 0.55 0.2046384 0.042075766720000005 0.6100264000000001 0.18533519999999998 3.5957507224980172e-09
0.4 0.5 0.6000000000000001 0.2154664 0.0466099392 0.6054172000000001 0.17911639999999998 3.392651812244375e-09
0.4 0.5 0.65 0.2265188 0.051521148960000006 0.59956 0.1739212 3.6176219023003094e-09
0.4 0.5 0.7000000000000001 0.23396119999999998 0.054940223520000005 0.5983512 0.1676876 3.5136082625093197e-09
0.4 0.5 0.75 0.2447352 0.06008952832 0.5926224000000001 0.16264240000000002 3.5144214073237e-09
0.4 0.5 0.8 0.2519712 0.0636611296 0.5898260000000001 0.1582028 3.093965918604063e-09
0.4 0.5 0.8500000000000001 0.2555196 0.06549485456 0.5941836 0.1502968 3.4777973313015265e-09
0.4 0.5 0.9 0.26434799999999997 0.07005256639999999 0.5887172 0.1469348 2.9479222852895037e-09
0.4 0.5 0.9500000000000001 0.27040920000000007 0.0733257096 0.5872999999999999 0.14229080000000002 3.752353205088514e-09
0.4 0.5 1.0 0.2755064 0.07610056223999999 0.5870896 0.137404 3.471766181854996e-09
0.45 0.5 0.0 0.0 0.0 0.12680000000000002 0.8732000000000003 0.0
0.45 0.5 0.05 0.0 0.0 0.9999123999999999 8.759999999999999e-05 0.0
0.45 0.5 0.1 0.0 0.0 0.9999356 6.44e-05 0.0
0.45 0.5 0.15000000000000002 0.0443188 0.00210846224 0.808844 0.1468372 2.687901910120916e-09
0.45 0.5 0.2 0.07837119999999999 0.0063936921600000005 0.72451 0.1971188 4.978001554690276e-09
0.45 0.5 0.25 0.118964 0.014349183360000002 0.6439467999999999 0.2370892 3.5672178900761924e-09
0.45 0.5 0.30000000000000004 0.1482304 0.02218814624 0.6060331999999999 0.2457364 3.714308519151445e-09
0.45 0.5 0.35000000000000003 0.17111880000000002 0.029485084 0.5847684000000001 0.2441128 3.6138224212488424e-09
0.45 0.5 0.4 0.193918 0.037790130080000005 0.5636256 0.24245639999999996 3.409242754209823e-09
0.45 0.5 0.45 0.21337240000000002 0.04573466928000001 0.550556 0.2360716 3.727422211642564e-09
0.45 0.5 0.5 0.2272448 0.051820502719999995 0.5457596 0.22699559999999996 3.6951038180332415e-09
0.45 0.5 0.55 0.23988559999999998 0.05773640192 0.5416283999999999 0.21848599999999999 3.4526168230948354e-09
0.45 0.5 0.6000000000000001 0.25497679999999995 0.06518836800000001 0.533796 0.2112272 3.213994236167516e-09
0.45 0.5 0.65 0.2649848 0.0704152976 0.5313412000000001 0.20367399999999997 3.5228686993733183e-09
0.45 0.5 0.7000000000000001 0.27377520000000005 0.07512751359999999 0.5304692 0.1957556 3.2447598019925782e-09
0.45 0.5 0.75 0.2810192 0.07914427232 0.5313260000000001 0.18765479999999998 2.9775837848721673e-09
0.45 0.5 0.8 0.29023360000000004 0.08439706143999999 0.5283868 0.18137959999999997 2.92673141609329e-09
0.45 0.5 0.8500000000000001 0.29709119999999994 0.08843066048 0.5284983999999999 0.17441040000000002 3.21563716282438e-09
0.45 0.5 0.9 0.3015852 0.09113039599999999 0.5301584 0.1682564 3.3617915343965223e-09
0.45 0.5 0.9500000000000001 0.30936 0.09588502271999999 0.5281115999999999 0.16252840000000002 3.1766769518785082e-09
0.45 0.5 1.0 0.31398000000000004 0.09874859168 0.5289152 0.15710480000000002 2.952020225135417e-09
0.5 0.5 0.0 0.0 0.0 0.11880000000000002 0.8811999999999999 0.0
0.5 0.5 0.05 0.0 0.0 0.9997984 0.0002016 0.0
0.5 0.5 0.1 0.0011204000000000001 2.577232e-05 0.9920516 0.006827999999999999 1.561954517304959e-09
0.5 0.5 0.15000000000000002 0.069504 0.00501970496 0.6988435999999999 0.2316524 3.297570366384883e-09
0.5 0.5 0.2 0.11011240000000001 0.012373386399999999 0.6167104000000001 0.27317719999999995 4.083018918899616e-09
0.5 0.5 0.25 0.1443908 0.021076151520000003 0.5682119999999999 0.2873972 4.203058183008731e-09
0.5 0.5 0.30000000000000004 0.172324 0.029885487359999997 0.5398484000000001 0.28782759999999996 3.3406658709227512e-09
0.5 0.5 0.35000000000000003 0.19882319999999998 0.03973447072 0.5178984000000001 0.28327840000000004 3.726441584760773e-09
0.5 0.5 0.4 0.218674 0.047968309919999993 0.5079328000000001 0.2733932 2.7574323193267648e-09
0.5 0.5 0.45 0.23904399999999998 0.05732875456 0.49485680000000004 0.2660992 3.078169757865885e-09
0.5 0.5 0.5 0.2537824 0.06458617920000001 0.49163599999999996 0.2545816 3.011078668408968e-09
0.5 0.5 0.55 0.26901919999999996 0.07253474304000002 0.48669 0.2442908 2.8407244914995135e-09
0.5 0.5 0.6000000000000001 0.2815976 0.0794548832 0.48328 0.2351224 2.7593784923152046e-09
0.5 0.5 0.65 0.2910596 0.0848749368 0.48462239999999995 0.224318 2.996525024592475e-09
0.5 0.5 0.7000000000000001 0.30218439999999996 0.09150120496 0.4825992 0.21521640000000003 3.283465885511435e-09
0.5 0.5 0.75 0.31128959999999994 0.09707565696 0.48080960000000006 0.2079008 3.322626748620534e-09
0.5 0.5 0.8 0.3184956 0.101612924 0.4825728 0.19893160000000001 3.2760844953040563e-09
0.5 0.5 0.8500000000000001 0.3253304000000001 0.10601706368000001 0.48332600000000003 0.19134359999999997 3.2927194784730564e-09
0.5 0.5 0.9 0.3323828 0.11062139824000002 0.4829892 0.18462800000000001 2.4008908538099867e-09
0.5 0.5 0.9500000000000001 0.3367592 0.11354905536000001 0.4857416 0.1774992 2.667916432364198e-09
0.5 0.5 1.0 0.34436400000000006 0.11873352512 0.48378160000000003 0.1718544 2.651554257236825e-09
0.55 0.5 0.0 0.0 0.0 0.1088 0.8911999999999995 0.0
0.55 0.5 0.05 0.0 0.0 0.9997292 0.0002708 0.0
0.55 0.5 0.1 0.043592799999999994 0.0021062172800000003 0.7381736000000001 0.2182336 3.7898836348353116e-09
0.55 0.5 0.15000000000000002 0.082432 0.00703074144 0.6402132 0.2773548 4.421923047599012e-09
0.55 0.5 0.2 0.1268928 0.016321621760000002 0.5558116 0.3172956 4.042860185841335e-09
0.55 0.5 0.25 0.16228720000000002 0.026549867199999997 0.5128712000000001 0.32484159999999995 3.6725790586996056e-09
0.55 0.5 0.30000000000000004 0.1894112 0.03607783392 0.49298759999999997 0.31760120000000003 3.5391193593334042e-09
0.55 0.5 0.35000000000000003 0.2191732 0.04825589264 0.46830520000000003 0.3125216 4.042569647596101e-09
0.55 0.5 0.4 0.24158319999999997 0.058532390399999995 0.4572248 0.301192 2.9606065920967747e-09
