method T E E_err C C_err M M_err X X_err
glauber 2.300000000000001 -1849444.62 4.862795821657023 89.40182685491484 3.8772073139724266 1451.1 10.000051499867402 869.5741739130453 42.00992989796152
glauber 2.4000000000000012 -1038265.216 4.299573144351984 64.18864313761387 3.029798346992661 121.856 19.816173880545154 3272.3395605333317 121.26835814790294
glauber 2.5000000000000013 -318456.544 3.5800949795873027 41.01465620117183 1.8844104457608153 55.052 12.228964522640501 1196.3805863679995 47.98209019585914
glauber 2.6000000000000014 -190783.448 3.555095398557777 37.39261329244575 1.7158399980793826 26.658 8.82033440613223 598.4484541230767 26.616884844838218
glauber 2.7000000000000015 -1549.148 3.2736514927524016 29.401355544581662 1.4037382460707981 4.062 8.489979514462917 533.924090044444 24.381218269314846
glauber 2.8000000000000016 -13629.148 3.1393493109276087 25.14161759189194 1.0635841162772357 2.41 6.477153379378938 299.6679707142855 13.503659656479645
glauber 2.9000000000000017 -34737.824 3.149410266054216 23.58807377866273 1.091099012420624 9.35 6.014369917123489 249.46652068965503 10.53133910107667
glauber 3.0000000000000018 -42537.688 3.1595693782020473 22.18417479038236 1.006195636293434 0.708 5.692313654042616 216.01623157333324 10.170988855933395
kawasaki 1.0 355.1111111111111 0.5156321782141826 5.317530864198051 1.9549942200808357 10.0 0.0 0.0 0.0
kawasaki 1.1 383.23809523809524 0.26653057751937403 1.1741908884762153 0.3613011157424404 10.0 0.0 0.0 0.0
kawasaki 1.2000000000000002 408.5 0.31583223394707516 1.3854166666666663 0.5154400125062185 10.0 0.0 0.0 0.0
kawasaki 1.3000000000000003 402.15384615384613 0.35297551753108025 1.4744581772347207 0.9264064739640235 10.0 0.0 0.0 0.0
kawasaki 1.4000000000000004 388.2 0.4316943363075489 1.9016326530613779 0.49971533412392466 10.0 0.0 0.0 0.0
kawasaki 1.5000000000000004 417.7142857142857 0.6191501746551502 3.407528344671136 0.8259023304684352 10.0 0.0 0.0 0.0
kawasaki 1.6000000000000005 368.26666666666665 0.8190617938972815 5.241111111111191 1.4383197666940524 10.0 0.0 0.0 0.0
kawasaki 1.7000000000000006 411.73333333333335 1.0647983638020642 7.846336024605897 3.4758602768568987 10.0 0.0 0.0 0.0
kawasaki 1.8000000000000007 410.93333333333334 0.7885401420064502 3.8382441700960017 1.2525931323415023 10.0 0.0 0.0 0.0
kawasaki 1.9000000000000008 400.44444444444446 1.6170694419989764 14.487055846243097 6.592452680409508 10.0 0.0 0.0 0.0
kawasaki 2.000000000000001 407.1111111111111 1.0918327552478613 5.9604938271606756 1.9204148641512888 10.0 0.0 0.0 0.0
kawasaki 2.100000000000001 328.25 1.565547028996574 11.115362811791375 3.338786047042151 10.0 0.0 0.0 0.0
kawasaki 2.200000000000001 435.0 1.418097316829843 8.309917355371892 2.7325175390306256 10.0 0.0 0.0 0.0
kawasaki 2.300000000000001 384.85714285714283 1.5315191870845646 8.867867752015739 2.583297313481536 10.0 0.0 0.0 0.0
kawasaki 2.4000000000000012 348.0 2.092036181478559 15.196581196581201 4.293036642768438 10.0 0.0 0.0 0.0
kawasaki 2.5000000000000013 403.75 2.300638498330409 16.937399999999982 5.234032935346705 10.0 0.0 0.0 0.0
kawasaki 2.6000000000000014 264.8 2.1025444902149704 13.078974358974332 5.266728805578094 10.0 0.0 0.0 0.0
kawasaki 2.7000000000000015 450.6666666666667 1.392679272322071 5.321140070111196 2.3788908846408114 10.0 0.0 0.0 0.0
kawasaki 2.8000000000000016 499.25 2.1523098057668184 11.817442602040803 3.886657503381434 10.0 0.0 0.0 0.0
kawasaki 2.9000000000000017 465.84615384615387 2.1140499285948073 10.628316529350071 4.00008104661847 10.0 0.0 0.0 0.0
kawasaki 3.0000000000000018 453.5 1.6833745869532426 6.297222222222215 2.360210023891562 10.0 0.0 0.0 0.0
