method T E E_err C C_err M M_err X X_err
glauber 2.8000000000000016 -1899.6 1.2217364691291368 3.8077551020411446 2.4592964128014505 41.2 1.3545331299012215 13.10542857142856 10.093745896573704
glauber 2.9000000000000017 -436.0 0.6499230723708723 1.0045184304399375 0.8474324105227542 7.2 1.5534349036892405 16.64248275862068 7.470876209029819
glauber 3.0000000000000018 -1536.4 0.7120674125387088 1.1267555555546023 0.38763403965909393 62.2 0.770038960053321 3.9530666666666647 1.8843151619716925
kawasaki 1.0 -154.45901639344262 0.20941556227043326 0.877097554420834 0.06617048133627229 20.0 0.0 0.0 0.0
kawasaki 1.1 -154.398406374502 0.1713336411329052 0.48521019146874617 0.042975616102456524 20.0 0.0 0.0 0.0
kawasaki 1.2000000000000002 -146.0 0.2310396293816844 0.7413793103448065 0.06535610465375775 20.0 0.0 0.0 0.0
kawasaki 1.3000000000000003 -158.72566371681415 0.21934124170272956 0.5693559800200617 0.06078377665038641 20.0 0.0 0.0 0.0
kawasaki 1.4000000000000004 -142.832 0.2958036105256333 0.8928548571428624 0.08625736038985729 20.0 0.0 0.0 0.0
kawasaki 1.5000000000000004 -137.712 0.2725528499208993 0.6603116088889264 0.05878081623770189 20.0 0.0 0.0 0.0
kawasaki 1.6000000000000005 -138.4 0.31112698372207975 0.7562499999999938 0.06721600926233595 20.0 0.0 0.0 0.0
kawasaki 1.7000000000000006 -154.58091286307055 0.3458747536678074 0.8278847420399057 0.0651209806084356 20.0 0.0 0.0 0.0
kawasaki 1.8000000000000007 -157.28 0.38173498660720206 0.8995160493827201 0.08283684323008121 20.0 0.0 0.0 0.0
kawasaki 1.9000000000000008 -154.59071729957805 0.42771742110006467 1.0135301513157338 0.0852467108015517 20.0 0.0 0.0 0.0
kawasaki 2.000000000000001 -147.4225941422594 0.4078534378220046 0.8317221337161383 0.0791341113303514 20.0 0.0 0.0 0.0
kawasaki 2.100000000000001 -139.9437751004016 0.4625892418032989 0.970470778377101 0.09905864248508604 20.0 0.0 0.0 0.0
kawasaki 2.200000000000001 -183.52136752136752 0.4644746741386573 0.8914740616372383 0.0783936511740659 20.0 0.0 0.0 0.0
kawasaki 2.300000000000001 -152.94170403587444 0.4714172989422457 0.8402051786087048 0.0814861907656174 20.0 0.0 0.0 0.0
kawasaki 2.4000000000000012 -154.62978723404257 0.5165630751350927 0.9265187867813303 0.08356727482996189 20.0 0.0 0.0 0.0
kawasaki 2.5000000000000013 -150.4890829694323 0.5305399025917165 0.9007122823744886 0.08013982789919263 20.0 0.0 0.0 0.0
kawasaki 2.6000000000000014 -150.61660079051384 0.46932720442033543 0.6516805467722102 0.060776405807272726 20.0 0.0 0.0 0.0
kawasaki 2.7000000000000015 -153.34351145038167 0.456869049211844 0.5726456190061292 0.055433007495885415 20.0 0.0 0.0 0.0
kawasaki 2.8000000000000016 -148.2240663900415 0.535262375709675 0.7308821705366455 0.0602683182995605 20.0 0.0 0.0 0.0
kawasaki 2.9000000000000017 -171.21212121212122 0.5319107355237269 0.6728395495015265 0.05904570949764958 20.0 0.0 0.0 0.0
kawasaki 3.0000000000000018 -149.4356846473029 0.5330070224134473 0.6313255243156641 0.056363543054031746 20.0 0.0 0.0 0.0
