method T M E
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -118.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -122.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -194.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -114.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -182.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -182.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -126.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -134.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -126.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -206.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -122.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -186.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -182.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -162.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -146.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -170.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -158.0
 kawasaki 2.7000000000000015 -20 -130.0
 kawasaki 2.7000000000000015 -20 -114.0
 kawasaki 2.7000000000000015 -20 -174.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -154.0
 kawasaki 2.7000000000000015 -20 -166.0
 kawasaki 2.7000000000000015 -20 -138.0
 kawasaki 2.7000000000000015 -20 -126.0
 kawasaki 2.7000000000000015 -20 -142.0
 kawasaki 2.7000000000000015 -20 -150.0
 kawasaki 2.7000000000000015 -20 -178.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -154.0
 kawasaki 2.8000000000000016 -20 -154.0
 kawasaki 2.8000000000000016 -20 -154.0
 kawasaki 2.8000000000000016 -20 -134.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -142.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -126.0
 kawasaki 2.8000000000000016 -20 -170.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -122.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -178.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -178.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -182.0
 kawasaki 2.8000000000000016 -20 -142.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -138.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -174.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -122.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -126.0
 kawasaki 2.8000000000000016 -20 -170.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -174.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -126.0
 kawasaki 2.8000000000000016 -20 -142.0
 kawasaki 2.8000000000000016 -20 -186.0
 kawasaki 2.8000000000000016 -20 -138.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -154.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -122.0
 kawasaki 2.8000000000000016 -20 -142.0
 kawasaki 2.8000000000000016 -20 -178.0
 kawasaki 2.8000000000000016 -20 -154.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -114.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -158.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -130.0
 kawasaki 2.8000000000000016 -20 -174.0
 kawasaki 2.8000000000000016 -20 -162.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -150.0
 kawasaki 2.8000000000000016 -20 -166.0
 kawasaki 2.8000000000000016 -20 -126.0
 kawasaki 2.8000000000000016 -20 -146.0
 kawasaki 2.8000000000000016 -20 -138.0
 kawasaki 2.8000000000000016 -20 -114.0
 kawasaki 2.8000000000000016 -20 -138.0
 kawasaki 2.8000000000000016 -20 -142.0
