method T M E
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1206.0
 kawasaki 1.1 -12 1218.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1202.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1214.0
 kawasaki 1.1 -12 1210.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1206.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1222.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1202.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1194.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1142.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1146.0
 kawasaki 1.1 -12 1150.0
 kawasaki 1.1 -12 1158.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1154.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1162.0
 kawasaki 1.1 -12 1166.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1190.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1198.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1182.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1174.0
 kawasaki 1.1 -12 1186.0
 kawasaki 1.1 -12 1178.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1170.0
 kawasaki 1.1 -12 1178.0
