method T M E
 kawasaki 1.0 8 242689546.0
 kawasaki 1.0 8 242966478.0
 kawasaki 1.0 8 243242882.0
 kawasaki 1.0 8 243793710.0
 kawasaki 1.0 8 244341454.0
 kawasaki 1.0 8 244613818.0
 kawasaki 1.0 8 244888706.0
 kawasaki 1.0 8 245163734.0
 kawasaki 1.0 8 245438814.0
 kawasaki 1.0 8 245992650.0
 kawasaki 1.0 8 246268678.0
 kawasaki 1.0 8 248465742.0
 kawasaki 1.0 8 248742366.0
 kawasaki 1.0 8 249289406.0
 kawasaki 1.0 8 249561582.0
 kawasaki 1.0 8 250112306.0
 kawasaki 1.0 8 250662562.0
 kawasaki 1.0 8 250938586.0
 kawasaki 1.0 8 252038686.0
 kawasaki 1.0 8 252309978.0
 kawasaki 1.0 8 252583066.0
 kawasaki 1.0 8 252861106.0
 kawasaki 1.0 8 253137354.0
 kawasaki 1.0 8 253412290.0
 kawasaki 1.0 8 253690926.0
 kawasaki 1.0 8 254782114.0
 kawasaki 1.0 8 255058722.0
 kawasaki 1.0 8 256157442.0
 kawasaki 1.0 8 256432194.0
 kawasaki 1.0 8 258079442.0
 kawasaki 1.0 8 258350710.0
 kawasaki 1.0 8 258625890.0
 kawasaki 1.0 8 258901010.0
 kawasaki 1.0 8 259453230.0
 kawasaki 1.0 8 260000586.0
 kawasaki 1.0 8 260276430.0
 kawasaki 1.0 8 260550630.0
 kawasaki 1.0 8 260827610.0
 kawasaki 1.0 8 261102922.0
 kawasaki 1.0 8 261651990.0
 kawasaki 1.0 8 261925442.0
 kawasaki 1.0 8 262479774.0
 kawasaki 1.0 8 263030310.0
 kawasaki 1.0 8 263581538.0
 kawasaki 1.0 8 263853902.0
 kawasaki 1.0 8 264130294.0
 kawasaki 1.0 8 264404126.0
 kawasaki 1.0 8 264677586.0
 kawasaki 1.0 8 264955434.0
 kawasaki 1.0 8 265781138.0
 kawasaki 1.0 8 266332322.0
 kawasaki 1.0 8 266884482.0
 kawasaki 1.0 8 267434926.0
 kawasaki 1.0 8 268265290.0
 kawasaki 1.0 8 269626930.0
 kawasaki 1.0 8 270174638.0
 kawasaki 1.0 8 270449902.0
 kawasaki 1.0 8 270994122.0
 kawasaki 1.0 8 271540818.0
 kawasaki 1.0 8 271815858.0
 kawasaki 1.0 8 272635326.0
 kawasaki 1.0 8 272909358.0
 kawasaki 1.1 8 821698.0
 kawasaki 1.1 8 1092086.0
 kawasaki 1.1 8 1359510.0
 kawasaki 1.1 8 2182234.0
 kawasaki 1.1 8 2457066.0
 kawasaki 1.1 8 3274046.0
 kawasaki 1.1 8 3822510.0
 kawasaki 1.1 8 4095966.0
 kawasaki 1.1 8 4645314.0
 kawasaki 1.1 8 4920618.0
 kawasaki 1.1 8 5472118.0
 kawasaki 1.1 8 6017034.0
 kawasaki 1.1 8 6292170.0
 kawasaki 1.1 8 6571054.0
 kawasaki 1.1 8 6844842.0
 kawasaki 1.1 8 7388230.0
 kawasaki 1.1 8 7662958.0
 kawasaki 1.1 8 8487206.0
 kawasaki 1.1 8 8763062.0
 kawasaki 1.1 8 9580650.0
 kawasaki 1.1 8 9853534.0
 kawasaki 1.1 8 10130434.0
 kawasaki 1.1 8 11230322.0
 kawasaki 1.1 8 11502214.0
 kawasaki 1.1 8 12885402.0
